id,type,Country,County,Municipality,Coordinates,Gender,Age,Language,Nationality,PoliticalSpectrum,SocioeconomicStatus,EU,NATODonovia,Information Dissemination Agents
B-ID-583,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,BothLang,Lithuanian,Center,MiddleClass,AntiEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Lenta (lenta.ru)', 'Sputnik News LT (sputniknews.ru)', 'Alfa (alfa.lt)', 'Facebook(LT)', 'Odnoklassniki(LT)']"
B-ID-584,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Undecided,LowerClass,ProEU,ProNATOAntiDonovia,"['LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-585,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,BothLang,Other,Left,UpperClass,AntiEU,ProNATOAntiDonovia,"['Respublika (respublika.lt)', 'Delfi LT (delfi.lt)', 'Verslo Zinios (vz.lt)', 'Facebook(LT)', 'VK(LT)']"
B-ID-586,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,NationalLang,Lithuanian,Center,LowerClass,ProEU,Undecided,['LRT (lrt.lt)']
B-ID-587,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-588,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,NationalLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK']"
B-ID-589,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,OtherLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Facebook(LT)']"
B-ID-590,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,MiddleClass,Undecided,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Diena (Diena.lt)', 'Alfa (alfa.lt)']"
B-ID-591,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Undecided,MiddleClass,Undecided,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Alfa (alfa.lt)']"
B-ID-592,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Left,UpperClass,Undecided,AntiNATOProDonovia,[]
B-ID-593,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Kauno Diena (kauno.diena.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-594,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,BothLang,Donovian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Diena (Diena.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-595,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Right,UpperClass,ProEU,Neutral,[]
B-ID-596,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Young,BothLang,Lithuanian,Right,LowerClass,ProEU,AntiNATOProDonovia,[]
B-ID-597,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,NationalLang,Lithuanian,Undecided,UpperClass,Undecided,AntiNATOProDonovia,['15min (15min.lt)']
B-ID-598,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,BothLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,['PBK LT']
B-ID-599,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,BothLang,Lithuanian,Center,UpperClass,AntiEU,AntiNATOProDonovia,"['Lenta (lenta.ru)', 'Sputnik News LT (sputniknews.ru)']"
B-ID-600,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiDonovia,['TV3 LT (tv3.lt)']
B-ID-601,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Undecided,LowerClass,Undecided,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Alfa (alfa.lt)']"
B-ID-602,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,Undecided,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-603,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Undecided,UpperClass,AntiEU,Undecided,[]
B-ID-604,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,['Delfi LT (delfi.lt)']
B-ID-605,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,NationalLang,Lithuanian,Center,LowerClass,AntiEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Facebook(LT)']"
B-ID-606,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,BothLang,Lithuanian,Undecided,LowerClass,ProEU,Neutral,[]
B-ID-607,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Left,LowerClass,ProEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-608,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Young,NationalLang,Lithuanian,Undecided,MiddleClass,AntiEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Respublika (respublika.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-609,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Left,LowerClass,AntiEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-610,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Right,MiddleClass,ProEU,Undecided,[]
B-ID-611,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-612,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,NationalLang,Lithuanian,Left,UpperClass,ProEU,ProNATOAntiDonovia,['TV3 LT (tv3.lt)']
B-ID-613,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-614,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiDonovia,['Diena (Diena.lt)']
B-ID-615,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,BothLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Kauno Diena (kauno.diena.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Diena (Diena.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-616,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiDonovia,[]
B-ID-617,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,BothLang,Lithuanian,Center,LowerClass,AntiEU,Neutral,"['Facebook(LT)', 'Odnoklassniki(LT)']"
B-ID-618,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Young,NationalLang,Lithuanian,Right,MiddleClass,Undecided,Neutral,"['Lietuvos Rytas (lrytas.lt)', 'Verslo Zinios (vz.lt)', 'Vakaru Ekspresas (ve.lt)']"
B-ID-619,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,NationalLang,Lithuanian,Left,UpperClass,Undecided,Undecided,['Delfi LT (delfi.lt)']
B-ID-620,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-621,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-622,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,NationalLang,Lithuanian,Right,MiddleClass,ProEU,Undecided,[]
B-ID-623,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Right,MiddleClass,ProEU,Undecided,[]
B-ID-624,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,BothLang,Lithuanian,Left,LowerClass,AntiEU,Undecided,[]
B-ID-625,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiDonovia,"['Facebook(LT)', 'Twitter(LT)']"
B-ID-626,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,NationalLang,Lithuanian,Right,UpperClass,ProEU,Neutral,[]
B-ID-627,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,NationalLang,Lithuanian,Undecided,UpperClass,ProEU,AntiNATOProDonovia,"['Lietus Radio (lietus.fm)', 'Delfi LT (delfi.lt)']"
B-ID-628,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,BothLang,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-629,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,UpperClass,ProEU,Neutral,['Diena (Diena.lt)']
B-ID-630,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Right,UpperClass,ProEU,Undecided,[]
B-ID-631,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,BothLang,Lithuanian,Undecided,UpperClass,AntiEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-632,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,NationalLang,Lithuanian,Undecided,LowerClass,AntiEU,ProNATOAntiDonovia,"['LNK', 'Facebook(LT)']"
B-ID-633,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,BothLang,Lithuanian,Left,UpperClass,ProEU,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-634,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,BothLang,Lithuanian,Undecided,UpperClass,Undecided,ProNATOAntiDonovia,['Lietus Radio (lietus.fm)']
B-ID-635,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Right,LowerClass,AntiEU,ProNATOAntiDonovia,[]
B-ID-636,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,BothLang,Lithuanian,Undecided,LowerClass,AntiEU,ProNATOAntiDonovia,"['PBK LT', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Facebook(LT)', 'Odnoklassniki(LT)']"
B-ID-637,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Young,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Verslo Zinios (vz.lt)', 'Facebook(LT)']"
B-ID-638,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-639,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Left,UpperClass,AntiEU,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-640,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,BothLang,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Delfi LT (delfi.lt)', 'Diena (Diena.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-641,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,Undecided,Neutral,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', '15min (15min.lt)']"
B-ID-642,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,LowerClass,Undecided,AntiNATOProDonovia,['LNK']
B-ID-643,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,AntiEU,ProNATOAntiDonovia,"['LNK', 'Lietuvos Rytas (lrytas.lt)', 'Respublika (respublika.lt)', 'Delfi LT (delfi.lt)', 'Alfa (alfa.lt)', 'Facebook(LT)']"
B-ID-644,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Left,UpperClass,ProEU,Neutral,['Delfi LT (delfi.lt)']
B-ID-645,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Left,MiddleClass,ProEU,Neutral,"['Diena (Diena.lt)', 'Vakaru Ekspresas (ve.lt)', 'L24 (l24.lt)']"
B-ID-646,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,AntiNATOProDonovia,[]
B-ID-647,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,BothLang,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-648,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Diena (Diena.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-649,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiDonovia,['Lietus Radio (lietus.fm)']
B-ID-650,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,BothLang,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-651,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,MiddleClass,AntiEU,ProNATOAntiDonovia,"['Alfa (alfa.lt)', 'Facebook(LT)']"
B-ID-652,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,BothLang,Lithuanian,Center,MiddleClass,Undecided,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', '15min (15min.lt)', 'Diena (Diena.lt)', 'Alfa (alfa.lt)', 'Facebook(LT)']"
B-ID-653,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,NationalLang,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiDonovia,['LRT (lrt.lt)']
B-ID-654,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Polish,Right,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Lietuvos Rytas (lrytas.lt)', 'Respublika (respublika.lt)', 'Delfi LT (delfi.lt)', 'Diena (Diena.lt)', 'Alfa (alfa.lt)', 'L24 (l24.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-655,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,BothLang,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-656,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,NationalLang,Lithuanian,Undecided,UpperClass,Undecided,ProNATOAntiDonovia,['Lietus Radio (lietus.fm)']
B-ID-657,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,UpperClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Facebook(LT)']"
B-ID-658,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-659,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,MiddleClass,ProEU,AntiNATOProDonovia,['Diena (Diena.lt)']
B-ID-660,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,NationalLang,Lithuanian,Center,MiddleClass,Undecided,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', '15min (15min.lt)', 'Alfa (alfa.lt)', 'Vakaru Ekspresas (ve.lt)', 'L24 (l24.lt)', 'Facebook(LT)']"
B-ID-661,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,BothLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Diena (Diena.lt)', 'Facebook(LT)']"
B-ID-662,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Diena (Diena.lt)', 'Facebook(LT)']"
B-ID-663,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Undecided,LowerClass,ProEU,Undecided,[]
B-ID-664,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,NationalLang,Polish,Undecided,LowerClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Alfa (alfa.lt)', 'L24 (l24.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-665,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,NationalLang,Lithuanian,Undecided,LowerClass,ProEU,Neutral,"['TV3 LT (tv3.lt)', 'Verslo Zinios (vz.lt)']"
B-ID-666,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Young,NationalLang,Lithuanian,Undecided,UpperClass,ProEU,Neutral,['Delfi LT (delfi.lt)']
B-ID-667,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,Neutral,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-668,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Undecided,LowerClass,ProEU,AntiNATOProDonovia,['Facebook(LT)']
B-ID-669,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Undecided,LowerClass,Undecided,Neutral,[]
B-ID-670,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,OtherLang,Lithuanian,Right,UpperClass,Undecided,ProNATOAntiDonovia,['Facebook(LT)']
B-ID-671,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiDonovia,[]
B-ID-672,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Other,Undecided,UpperClass,ProEU,Undecided,"['LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-673,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Left,MiddleClass,ProEU,Neutral,[]
B-ID-674,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,NotApplicable,NationalLang,Lithuanian,Center,MiddleClass,AntiEU,ProNATOAntiDonovia,"['LNK', 'Lietuvos Rytas (lrytas.lt)', 'Respublika (respublika.lt)', 'Alfa (alfa.lt)', 'Facebook(LT)']"
B-ID-675,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,NationalLang,Lithuanian,Center,MiddleClass,AntiEU,ProNATOAntiDonovia,"['LNK', 'Facebook(LT)']"
B-ID-676,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['LRT (lrt.lt)', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Alfa (alfa.lt)']"
B-ID-677,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Undecided,UpperClass,ProEU,AntiNATOProDonovia,[]
B-ID-678,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,NationalLang,Lithuanian,Undecided,MiddleClass,Undecided,ProNATOAntiDonovia,[]
B-ID-679,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,BothLang,Lithuanian,Right,LowerClass,AntiEU,Undecided,['PBK LT']
B-ID-680,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,NationalLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Diena (Diena.lt)']"
B-ID-681,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Left,MiddleClass,Undecided,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-682,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)', 'Twitter(LT)']"
B-ID-683,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Old,NationalLang,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiDonovia,['LNK']
B-ID-684,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Male,Middle,NationalLang,Lithuanian,Center,UpperClass,Undecided,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-685,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,NotApplicable,NationalLang,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', '15min (15min.lt)', 'Facebook(LT)']"
B-ID-686,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Middle,BothLang,Lithuanian,Right,LowerClass,ProEU,Neutral,[]
B-ID-687,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Undecided,MiddleClass,AntiEU,ProNATOAntiDonovia,"['RUSRADIO (rusradio.lt)', 'Respublika (respublika.lt)']"
B-ID-688,basic,Lithuania,Kaunas,Kaunas City,54.897409 23.892678,Female,Old,BothLang,Lithuanian,Undecided,MiddleClass,Undecided,Undecided,"['PBK LT', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', '15min (15min.lt)']"
B-ID-689,basic,Lithuania,Kaunas,Kaunas District,54.82207 23.873108,Female,Middle,BothLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-690,basic,Lithuania,Kaunas,Kaunas District,54.82207 23.873108,Female,Old,BothLang,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiDonovia,[]
B-ID-691,basic,Lithuania,Kaunas,Kaunas District,54.82207 23.873108,Female,Middle,BothLang,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-692,basic,Lithuania,Kaunas,Kaunas District,54.82207 23.873108,Female,Middle,NationalLang,Lithuanian,Right,LowerClass,AntiEU,ProNATOAntiDonovia,[]
